name,party,stateAbbr,district,stateDistrict,phone,area,searchTerms,targeted
Robert Bresnahan Jr.,R,PA,08,PA08,(202) 225-5546,Scranton/Wilkes-Barre,Scranton|Wilkes-Barre|Hazleton|Luzerne County|Lackawanna County|Pittston|Nanticoke|Kingston|Dunmore|Carbondale|Old Forge|Clarks Summit|Dallas|Mountaintop|Moosic|Robert Bresnahan,Y
Daniel Meuser,R,PA,09,PA09,(202) 225-6511,,,
Scott Perry,R,PA,10,PA10,(202) 225-5836,,,
Lloyd Smucker,R,PA,11,PA11,(202) 225-2411,,,
Summer Lee,D,PA,12,PA12,(202) 225-2135,,,
John Joyce,R,PA,13,PA13,(202) 225-2431,,,
Guy Reschenthaler,R,PA,14,PA14,(202) 225-2065,,,
Glenn Thompson,R,PA,15,PA15,(202) 225-5121,,,
Mike Kelly,R,PA,16,PA16,(202) 225-5406,,,
Christopher Deluzio,D,PA,17,PA17,(202) 225-2301,,,
Pablo Hernández,D,PR,Resident Commissioner,PRResident Commissioner,(202) 225-2615,,,
Gabe Amo,D,RI,01,RI01,(202) 225-4911,,,
Seth Magaziner,D,RI,02,RI02,(202) 225-2735,,,
Nancy Mace,R,SC,01,SC01,(202) 225-3176,,,
Joe Wilson,R,SC,02,SC02,(202) 225-2452,,,
Sheri Biggs,R,SC,03,SC03,(202) 225-5301,,,
William Timmons IV,R,SC,04,SC04,(202) 225-6030,,,
Ralph Norman,R,SC,05,SC05,(202) 225-5501,,,
James Clyburn,D,SC,06,SC06,(202) 225-3315,,,
Russell Fry,R,SC,07,SC07,(202) 225-9895,,,
Dusty Johnson,R,SD,00,SD00,(202) 225-2801,,,
Diana Harshbarger,R,TN,01,TN01,(202) 225-6356,,,
Tim Burchett,R,TN,02,TN02,(202) 225-5435,,,
Charles Fleischmann,R,TN,03,TN03,(202) 225-3271,,,
Scott DesJarlais,R,TN,04,TN04,(202) 225-6831,,,
Andrew Ogles,R,TN,05,TN05,(202) 225-4311,,,
John Rose,R,TN,06,TN06,(202) 225-4231,,,
Matt Van Epps,R,TN,07,TN07,(202) 225-2811,,,
David Kustoff,R,TN,08,TN08,(202) 225-4714,,,
Steve Cohen,D,TN,09,TN09,(202) 225-3265,,,
Nathaniel Moran,R,TX,01,TX01,(202) 225-3035,,,
Dan Crenshaw,R,TX,02,TX02,(202) 225-6565,,,
Keith Self,R,TX,03,TX03,(202) 225-4201,,,
Pat Fallon,R,TX,04,TX04,(202) 225-6673,,,
Lance Gooden,R,TX,05,TX05,(202) 225-3484,,,
Jake Ellzey,R,TX,06,TX06,(202) 225-2002,,,
Lizzie Fletcher,D,TX,07,TX07,(202) 225-2571,,,
Morgan Luttrell,R,TX,08,TX08,(202) 225-4901,,,
Al Green,D,TX,09,TX09,(202) 225-7508,,,
Michael McCaul,R,TX,10,TX10,(202) 225-2401,,,
August Pfluger,R,TX,11,TX11,(202) 225-3605,,,
Craig Goldman,R,TX,12,TX12,(202) 225-5071,,,
Ronny Jackson,R,TX,13,TX13,(202) 225-3706,,,
Randy Weber Sr.,R,TX,14,TX14,(202) 225-2831,,,
Monica De La Cruz,R,TX,15,TX15,(202) 225-9901,,,
Veronica Escobar,D,TX,16,TX16,(202) 225-4831,,,
Pete Sessions,R,TX,17,TX17,(202) 225-6105,,,
Christian Menefee,D,TX,18,TX18,(202) 225-3816,,,
Jodey Arrington,R,TX,19,TX19,(202) 225-4005,,,
Joaquin Castro,D,TX,20,TX20,(202) 225-3236,,,
Chip Roy,R,TX,21,TX21,(202) 225-4236,,,
Troy Nehls,R,TX,22,TX22,(202) 225-5951,,,
Tony Gonzales,R,TX,23,TX23,(202) 225-4511,,,
Beth Van Duyne,R,TX,24,TX24,(202) 225-6605,,,
Roger Williams,R,TX,25,TX25,(202) 225-9896,,,
Brandon Gill,R,TX,26,TX26,(202) 225-7772,,,
Michael Cloud,R,TX,27,TX27,(202) 225-7742,,,
Henry Cuellar,D,TX,28,TX28,(202) 225-1640,Laredo,Laredo|Webb County|Rio Grande Valley|Starr County|Zapata|Rio Grande City|Roma|San Ygnacio|Hebbronville|Cotulla|Pearsall|Eagle Pass,Y
Sylvia Garcia,D,TX,29,TX29,(202) 225-1688,,,
Jasmine Crockett,D,TX,30,TX30,(202) 225-8885,,,
John Carter,R,TX,31,TX31,(202) 225-3864,,,
Julie Johnson,D,TX,32,TX32,(202) 225-2231,,,
Marc Veasey,D,TX,33,TX33,(202) 225-9897,,,
Vicente Gonzalez,D,TX,34,TX34,(202) 225-2531,,,
Greg Casar,D,TX,35,TX35,(202) 225-5645,,,
Brian Babin,R,TX,36,TX36,(202) 225-1555,,,
Lloyd Doggett,D,TX,37,TX37,(202) 225-4865,,,
Wesley Hunt,R,TX,38,TX38,(202) 225-5646,,,
Blake Moore,R,UT,01,UT01,(202) 225-0453,,,
Celeste Maloy,R,UT,02,UT02,(202) 225-9730,,,
Mike Kennedy,R,UT,03,UT03,(202) 225-7751,,,
Burgess Owens,R,UT,04,UT04,(202) 225-3011,,,
Robert Wittman,R,VA,01,VA01,(202) 225-4261,,,
Jennifer Kiggans,R,VA,02,VA02,(202) 225-4215,Virginia Beach,Virginia Beach|Norfolk|Hampton Roads|Chesapeake|Eastern Shore|Accomack|Northampton|Poquoson|Williamsburg|Yorktown|Hampton|Gloucester|Mathews|Cape Charles|Jennifer Kiggans,Y
Robert Scott,D,VA,03,VA03,(202) 225-8351,,,
Jennifer McClellan,D,VA,04,VA04,(202) 225-6365,,,
John McGuire III,R,VA,05,VA05,(202) 225-4711,,,
Ben Cline,R,VA,06,VA06,(202) 225-5431,,,
Eugene Vindman,D,VA,07,VA07,(202) 225-2815,,,
Donald Beyer Jr.,D,VA,08,VA08,(202) 225-4376,,,
H. Griffith,R,VA,09,VA09,(202) 225-3861,,,
Suhas Subramanyam,D,VA,10,VA10,(202) 225-5136,,,
James Walkinshaw,D,VA,11,VA11,(202) 225-1492,,,
Stacey Plaskett,D,VI,Delegate,VIDelegate,(202) 225-1790,,,
Becca Balint,D,VT,00,VT00,(202) 225-4115,,,
Suzan DelBene,D,WA,01,WA01,(202) 225-6311,,,
Rick Larsen,D,WA,02,WA02,(202) 225-2605,,,
Marie Perez,D,WA,03,WA03,(202) 225-3536,Vancouver WA,Vancouver WA|Clark County|Longview|Kelso|Woodland|Battle Ground|Ridgefield|Camas|Washougal|La Center|Kalama|Castle Rock|Cathlamet,Y
Dan Newhouse,R,WA,04,WA04,(202) 225-5816,Yakima/Tri-Cities,Yakima|Tri-Cities|Kennewick|Richland|Pasco|Walla Walla|Ellensburg|Sunnyside|Grandview|Prosser|Toppenish|Selah|Moses Lake|Othello|Ephrata|Wenatchee,Y
Michael Baumgartner,R,WA,05,WA05,(202) 225-2006,,,
Emily Randall,D,WA,06,WA06,(202) 225-5916,,,
Pramila Jayapal,D,WA,07,WA07,(202) 225-3106,,,
Kim Schrier,D,WA,08,WA08,(202) 225-7761,Issaquah/East King County,Issaquah|East King County|Sammamish|Auburn|Enumclaw|Wenatchee|North Bend|Snoqualmie|Maple Valley|Covington|Black Diamond|Bonney Lake|Buckley|Leavenworth|Cashmere|Ellensburg,Y
Adam Smith,D,WA,09,WA09,(202) 225-8901,South Seattle/Tacoma,South Seattle|Tacoma|Renton|Kent|Federal Way|SeaTac|Tukwila|Burien|Des Moines|Lakewood|University Place|Fife|Milton|Pacific|Algona|Normandy Park,Y
Marilyn Strickland,D,WA,10,WA10,(202) 225-9740,,,
Bryan Steil,R,WI,01,WI01,(202) 225-3031,,,
Mark Pocan,D,WI,02,WI02,(202) 225-2906,,,
Derrick Van Orden,R,WI,03,WI03,(202) 225-5506,,,
Gwen Moore,D,WI,04,WI04,(202) 225-4572,,,
Scott Fitzgerald,R,WI,05,WI05,(202) 225-5101,,,
Glenn Grothman,R,WI,06,WI06,(202) 225-2476,,,
Thomas Tiffany,R,WI,07,WI07,(202) 225-3365,,,
Tony Wied,R,WI,08,WI08,(202) 225-5665,,,
Carol Miller,R,WV,01,WV01,(202) 225-3452,,,
Riley Moore,R,WV,02,WV02,(202) 225-2711,,,
Harriet Hageman,R,WY,00,WY00,(202) 225-2311,,,
